Unique ID,Title,Category,Source,Owner,Status,Proposed URL
1,Definitions,All,http://en.wikipedia.org/wiki/Mineral#Rocks.2C_ores.2C_and_gems,Wikipedia,Needs editing,lisa-villeneuve/large-data-site/home
2,Characteristics,Definitions,http://en.wikipedia.org/wiki/Mineral#Rocks.2C_ores.2C_and_gems,Wikipedia,Needs editing,"lisa-villeneuve/large-data-site/rocks, minerals, gems, ores, fossils, space-rocks"
3,General Types,All,http://en.wikipedia.org/wiki/List_of_rock_types,Wikipedia,Needs editing,"lisa-villeneuve/large-data-site/rocks, minerals, gems, ores, fossils, space-rocks"
4,Classification Techniques,Characteristics,"http://en.wikipedia.org/wiki/Mineralogy, http://www.diffen.com/difference/Minerals_vs_Rocks",Wikipedia,Needs editing,"lisa-villeneuve/large-data-site/rocks, minerals, gems, ores, fossils, space-rocks"
5,Gallery,All,http://www.yuprocks.com/,Yup Rocks,Needs editing,lisa-villeneuve/large-data-site/gallery
6,Magmatic,Rocks,http://en.wikipedia.org/wiki/Igneous_rock,Wikipedia,Needs editing,lisa-villeneuve/large-data-site/rocks
7,Sedimentary,Rocks,http://en.wikipedia.org/wiki/Sedimentary_rock,Wikipedia,Needs editing,lisa-villeneuve/large-data-site/rocks
8,Metamorphic,Rocks,http://en.wikipedia.org/wiki/Metamorphic_rock,Wikipedia,Needs editing,lisa-villeneuve/large-data-site/rocks
9,Minerals,Types,"http://www.rocksandminerals4u.com/minerals.html, http://en.wikipedia.org/wiki/Minerals#Mineral_definition_and_classification",Wikipedia,Needs editing,lisa-villeneuve/large-data-site/minerals
10,Ores,Types,http://en.wikipedia.org/wiki/Ore,Wikipedia,Needs editing,lisa-villeneuve/large-data-site/ores
11,Rocks,Types,http://en.wikipedia.org/wiki/Rock_formation,Wikipedia,Needs editing,lisa-villeneuve/large-data-site/rocks
12,Gems,Types,http://en.wikipedia.org/wiki/List_of_gemstone_species,Wikipedia,Needs editing,lisa-villeneuve/large-data-site/gems
13,Fossils,Types,http://en.wikipedia.org/wiki/Fossil#Types,Wikipedia,Needs editing,lisa-villeneuve/large-data-site/fossils
14,Space Rocks,Types,http://en.wikipedia.org/wiki/Meteorite,Wikipedia,Needs editing,lisa-villeneuve/large-data-site/space-rocks
15,World's most famous,Gems,http://en.wikipedia.org/wiki/List_of_famous_gemstones,Wikipedia,Needs editing,lisa-villeneuve/large-data-site/gallery
